id,name,full_name,updated_at,created_at,pushed_at,size,stargazers_count,forks_count,open_issues_count,default_branch,head
10703518,kiss3d,sebcrozet/kiss3d,2022-10-23T20:16:09Z,2013-06-15T07:41:40Z,2022-09-25T04:18:35Z,11326,1200,146,79,master,87a668fc543fd281ddad8f5800f71f6262a541a4
66488023,parallel,mmstick/parallel,2022-10-16T06:25:45Z,2016-08-24T18:11:20Z,2017-12-04T01:49:42Z,421,1199,34,21,master,c5a0df810acae4ca04bc4c0291e9f0f00309c828
165328635,stevenarella,iceiix/stevenarella,2022-10-23T13:06:58Z,2019-01-12T00:16:56Z,2022-10-21T21:13:55Z,2599,1198,54,86,master,fe8d8ece9c235fa54731f8e614f9f652ccd5210b
528823499,shadow-tls,ihciah/shadow-tls,2022-10-23T17:41:04Z,2022-08-25T11:38:48Z,2022-10-21T09:36:38Z,380,1197,153,9,master,44ed093e69097f611a890651152e2d721a51c6f3
166616185,roc,roc-lang/roc,2022-10-23T06:55:34Z,2019-01-20T02:42:44Z,2022-10-23T19:30:57Z,71050,1197,56,721,main,a4ed5a582d85218de40e4ddc46ce3720a796905d
196397560,Rust-Full-Stack,steadylearner/Rust-Full-Stack,2022-10-21T23:11:14Z,2019-07-11T13:13:17Z,2022-07-29T22:49:15Z,24975,1197,101,218,master,c3845ffbdc53f761e0ab90c8beb2bbe711653cc5
21982089,rust-bitcoin,rust-bitcoin/rust-bitcoin,2022-10-22T21:35:38Z,2014-07-18T13:58:05Z,2022-10-23T17:59:04Z,6678,1197,362,164,master,1d0b721e5e3d3e0b9ff8c8db9c3b4d240047bd00
65640886,ash,ash-rs/ash,2022-10-22T18:41:16Z,2016-08-13T23:13:25Z,2022-10-20T17:41:25Z,8666,1196,146,69,master,51f59976b4815c27b6d5606daf14565b8ee87677
242960969,tabled,zhiburt/tabled,2022-10-23T11:31:29Z,2020-02-25T09:31:25Z,2022-10-19T09:29:06Z,46591,1193,38,39,master,6f8e65101ff0a2c4c0caff1402a8c9aa7f80544e
77428506,validator,Keats/validator,2022-10-23T18:20:47Z,2016-12-27T05:32:07Z,2022-10-23T10:11:33Z,342,1192,93,55,master,fbaebd0d2f22b9d1e0412c2f9f73ce5c5e8b0db0
432216041,fuso,editso/fuso,2022-10-23T13:18:50Z,2021-11-26T15:02:06Z,2022-09-15T03:28:13Z,8158,1187,144,8,refactor/dev,8086a3136e1a67045f247ffef76ca71c60b078ad
182086384,gameboy,mohanson/gameboy,2022-10-22T08:22:54Z,2019-04-18T12:46:05Z,2022-07-28T00:41:39Z,3730,1186,66,4,master,1d7cd3074f708b957bcd506c76e7259b84cf8651
237297802,argh,google/argh,2022-10-15T19:57:49Z,2020-01-30T20:19:33Z,2022-09-22T19:05:13Z,104,1186,59,62,master,adc704cd29f710864b0fc1872bc86f857bebfdbf
173800499,oreboot,oreboot/oreboot,2022-10-23T14:42:06Z,2019-03-04T18:39:09Z,2022-10-22T12:56:11Z,84245,1186,86,53,main,9d5658da0b1e0dc45cebeabf430db1edbe676bf4
80729805,exonum,exonum/exonum,2022-10-23T19:36:32Z,2017-02-02T13:56:57Z,2022-10-14T09:18:57Z,36591,1185,246,33,master,57109131297cb926cb652910c1e0228effc16b58
77011446,git-interactive-rebase-tool,MitMaro/git-interactive-rebase-tool,2022-10-22T09:02:06Z,2016-12-21T03:13:07Z,2022-10-21T12:26:12Z,10381,1185,40,9,master,951e32f42f4d1c89e3bd6651870268f4c7c4bfab
434697502,node-to-rust,wasmflow/node-to-rust,2022-10-22T00:35:28Z,2021-12-03T18:35:04Z,2022-08-23T20:01:37Z,46397,1182,55,4,master,e978fa2fb1f63393b43edfdfde6d7404788f0346
